"decade"	"timeline"
1970	"met,4,romantic,14,lived,1,married,-99"
1970	"romantic,2,married,-99"
1970	"met,9,romantic,48,married,-99"
1970	"romantic,20,married,-99"
1970	"met,2,romantic,10,married,-99"
1970	"met,13,romantic,16,married,-99"
1970	"met,5,romantic,39,married,-99"
1970	"met,2,romantic,7,lived,6,married,-99"
1970	"romantic,10,married,-99"
1970	"met,13,romantic,12,married,-99"
1970	"met,25,romantic,44,married,-99"
1970	"met,2,romantic,15,married,-99"
1970	"met,4,romantic,24,married,-99"
1970	"romantic,2,lived,34,married,-99"
1970	"romantic,9,married,-99"
1970	"met,1,romantic,40,married,-99"
1970	"met,3,romantic,62,married,-99"
1970	"lived,17,married,-99"
1970	"romantic,1,married,-99"
1970	"romantic,7,married,-99"
1970	"met,1,romantic,6,married,-99"
1970	"romantic,16,married,-99"
1970	"met,3,romantic,4,married,-99"
1970	"met,1,romantic,17,married,-99"
1970	"romantic,18,married,-99"
1970	"met,133,romantic,27,lived,37,married,-99"
1970	"met,6,romantic,27,married,-99"
1970	"met,1,romantic,81,married,-99"
1970	"met,4,romantic,25,lived,17,married,-99"
1970	"romantic,4,married,-99"
1970	"met,9,romantic,18,married,-99"
1970	"met,33,romantic,20,married,-99"
1970	"romantic,46,married,-99"
1970	"met,1,romantic,6,married,-99"
1970	"romantic,1,lived,1,married,-99"
1970	"romantic,23,lived,3,married,-99"
1970	"met,7,romantic,32,married,-99"
1970	"met,16,romantic,4,lived,20,married,-99"
1970	"met,4,romantic,37,married,-99"
1970	"met,1,romantic,21,lived,17,married,-99"
1970	"met,1,romantic,46,married,-99"
1970	"met,32,romantic,36,married,-99"
1970	"romantic,35,married,-99"
1970	"romantic,19,married,-99"
1970	"met,2,romantic,47,married,-99"
1970	"met,1,romantic,6,married,-99"
1970	"romantic,4,married,-99"
1970	"romantic,58,married,-99"
1970	"met,15,romantic,3,lived,12,married,-99"
1970	"met,9,romantic,48,married,-99"
1970	"romantic,56,married,-99"
1970	"met,15,romantic,3,lived,12,married,-99"
1970	"met,2,romantic,10,married,-99"
1970	"romantic,19,married,-99"
1970	"met,4,romantic,21,married,-99"
1970	"met,2,romantic,5,married,-99"
1970	"met,7,romantic,32,married,-99"
1970	"met,5,romantic,3,married,-99"
1970	"romantic,26,married,-99"
1970	"met,4,romantic,21,married,-99"
1970	"met,5,romantic,24,married,-99"
1970	"met,4,romantic,21,married,-99"
1970	"lived,51,married,-99"
1970	"met,1,romantic,17,married,-99"
1970	"romantic,1,lived,9,married,-99"
1970	"met,7,romantic,17,married,-99"
1970	"met,4,romantic,5,married,-99"
1970	"met,3,romantic,3,married,-99"
1970	"met,4,romantic,25,lived,17,married,-99"
1970	"romantic,278,lived,3,married,-99"
1970	"romantic,32,married,-99"
1970	"romantic,27,married,-99"
1970	"met,14,romantic,33,married,-99"
1970	"romantic,31,married,-99"
1970	"met,3,romantic,30,married,-99"
1970	"met,1,romantic,5,married,-99"
1970	"met,19,romantic,22,lived,1,married,-99"
1970	"met,5,romantic,3,married,-99"
1970	"met,1,romantic,81,married,-99"
1970	"met,5,romantic,3,married,-99"
1970	"romantic,2,lived,5,married,-99"
1970	"met,14,romantic,23,married,-99"
1970	"romantic,12,married,-99"
1970	"romantic,7,lived,9,married,-99"
1970	"met,14,romantic,12,married,-99"
1970	"met,5,romantic,24,married,-99"
1970	"romantic,2,lived,5,married,-99"
1970	"romantic,56,married,-99"
1970	"met,13,romantic,16,married,-99"
1970	"romantic,83,married,-99"
1970	"met,1,romantic,19,married,-99"
1970	"met,3,romantic,19,married,-99"
1970	"romantic,23,married,-99"
1970	"met,6,romantic,66,married,-99"
1970	"met,3,romantic,3,married,-99"
